name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Lanžhot,679119,Lanžhot,"st. 704, p.č. 124/2"
,,,,,,,,,,,,Olešnice u Trhových Svinů,710334,Olešnice,St. 144
,,,,,,,,,,,,Olbramice,709808,Olbramice,St. 280
,,,,,,,,,,,,Dražejov u Dubé,633283,Dubá,parc. č. 1598
,,,,,,,,,,,,Blšany u Loun,651745,Blšany u Loun,p.č. 52
,,,,,,,,,,,,Výčapy,787523,Výčapy,St. 118/2
,,,,,,,,,,,,Radouňka,738689,Jindřichův Hradec,St. 302
,,,,,,,,,,,,Litice u Plzně,722740,Plzeň,St. 2701
,,,,,,,,,,,,Oprechtice na Šumavě,712027,Zahořany,St. 52
,,,,,,,,,,,,Rychvald,744441,Rychvald,891
,,,,,,,,,,,,Doudlevce,722464,Plzeň,par. č. 222
,,,,,,,,,,,,Staré Město u Uherského Hradiště,754617,Staré Město,St. 3054
,,,,,,,,,,,,Předenice,704091,Předenice,St. 127
,,,,,,,,,,,,Valašské Klobouky,776319,Valašské Klobouky,St. 103/2
,,,,,,,,,,,,Novina u Liberce,675482,Kryštofovo Údolí,St. 125
,,,,,,,,,,,,Ves Blížkovice,605689,Blížkovice,par. č. st. 161
,,,,,,,,,,,,Rudíkov,743267,Rudíkov,St. 308
,,,,,,,,,,,,Březnice u Zlína,614408,Březnice,2283/26
,,,,,,,,,,,,Roztoky u Prahy,742503,Roztoky,p.č. 2443/346
,,,,,,,,,,,,Opatov na Moravě,711471,Opatov,St. 88
,,,,,,,,,,,,Lužice u Hodonína,689343,Lužice,p.č. 1238
,,,,,,,,,,,,Rychnov u Jablonce nad Nisou,744344,Rychnov u Jablonce nad Nisou,1055/100
,,,,,,,,,,,,Sedliště ve Slezsku,746983,Sedliště,St. 668
,,,,,,,,,,,,Lhota,744409,Vyškov,9/12
,,,,,,,,,,,,Včelná,777382,Včelná,par. č. 529/104
,,,,,,,,,,,,Semily,747246,Semily, 175; 174/2
,,,,,,,,,,,,Tálín,765015,Tálín,"p.č. 93, 77/13, 77/15"
