name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Tajanov u Tupadel,771511,Klatovy,St. 1
,,,,,,,,,,,,Čižice,624039,Čižice,par. č. st. 48
,,,,,,,,,,,,Poruba,715174,Ostrava - Poruba,"p.č. 1738/2, 1738/3, 1738/7"
,,,,,,,,,,,,Chlumec nad Cidlinou,651800,Chlumec nad Cidlinou,St. 1037
,,,,,,,,,,,,Židenice,611115,Brno,7974/67
,,,,,,,,,,,,Slezské Předměstí,646971,Hradec Králové,St. 3107
,,,,,,,,,,,,Černovice u Tábora,620530,Černovice,St. 906
,,,,,,,,,,,,Všehrdy u Kralovic,787027,Všehrdy,st.p.č. 21/2
,,,,,,,,,,,,Přísnotice,736261,Přísnotice,par.č. 19/2
,,,,,,,,,,,,Trojanovice,768499,Trojanovice,St. 2042
,,,,,,,,,,,,Chuchelna,654833,Chuchelna,St. 497
,,,,,,,,,,,,Třeboň,770230,Třeboň,636/1
,,,,,,,,,,,,České Budějovice 6,622346,České Budějovice,640/2
,,,,,,,,,,,,Načeradec,700991,Načeradec,St. 178/1
,,,,,,,,,,,,Letkov,680621,Letkov,st. 10/1
,,,,,,,,,,,,Mariánské Lázně,691585,Mariánské Lázně,St. 327
,,,,,,,,,,,,Kelč-Staré Město,664766,Kelč,St. 101/1
,,,,,,,,,,,,Nové Město nad Metují,706442,Nové Město nad Metují,"St. 1978/3,2368, p.č. 549/16"
,,,,,,,,,,,,Hranice,647683,Hranice,St. 5199
,,,,,,,,,,,,Kroměříž,674834,Kroměříž,par.č.st. 5253
,,,,,,,,,,,,Podhůří u Nepomuka,723801,,p.č. 5
,,,,,,,,,,,,Domašov u Brna,630799,Domašov,St. 210
,,,,,,,,,,,,Most II,699594,Most,5305/15
,,,,,,,,,,,,Bohuňov nad Křetínkou,606391,Bohuňov,St. 53/2
,,,,,,,,,,,,Rodvínov,740349,Rodvínov,St. 300
,,,,,,,,,,,,Vráž u Berouna,785717,Vráž,St. 115
,,,,,,,,,,,,Přišimasy,736295,Přišimasy,St. 82
,,,,,,,,,,,,Mělnické Vtelno,692808,Mělnické Vtelno,st.p.č. 79
,,,,,,,,,,,,Vranovice nad Svratkou,785512,Vranovice,"2565/17, 2565/40,"
,,,,,,,,,,,,Žeretice,796506,Žeretice,St. 96/2
,,,,,,,,,,,,Vamberk,776785,Vamberk,par.č.st. 1220
,,,,,,,,,,,,Štěnovice,763349,Štěnovice,772/64
,,,,,,,,,,,,Bezděčí u Trnávky,603376,,p.č. 22
,,,,,,,,,,,,Plzeň,721981,Plzeň,6037
,,,,,,,,,,,,Vrdy,786233,Vrdy,St. 533
,,,,,,,,,,,,Místek,634824,Frýdek-Místek,559/1
,,,,,,,,,,,,Svéradice,760307,Svéradice,p.č. 85
,,,,,,,,,,,,Horní Ves u Mariánských Lázní,768821,Trstěnice,p.č. 38/1
,,,,,,,,,,,,Dobřichovice,627810,Dobřichovice,2671
,,,,,,,,,,,,Nová Včelnice,705322,Nová Včelnice,"par. č. st. 166,690"
,,,,,,,,,,,,Lžovice,772330,Týnec nad Labem,st.p.č. 117
,,,,,,,,,,,,Krásné Pole,673722,Ostrava,1355
,,,,,,,,,,,,Těmice u Hodonína,765872,Těmice,785
,,,,,,,,,,,,Dolní Nemojov,703206,Nemojov,St. 29
,,,,,,,,,,,,Holoubkov,641316,Holoubkov,St. 734
,,,,,,,,,,,,Bručná,722367,Plzeň,par.č.600/3
,,,,,,,,,,,,Háje,728233,Praha,p.č. 476/1
,,,,,,,,,,,,Bořetice u Hustopečí,608157,Bořetice,st. 400
,,,,,,,,,,,,Vlasatice,783307,Vlasatice,p.č. 130
,,,,,,,,,,,,Druztová,632708,Druztová,607/20
,,,,,,,,,,,,Valašské Klobouky,776319,Valašské Klobouky,St. 1878
,,,,,,,,,,,,Mezouň,693863,Mezouň,par. č. st. 375
,,,,,,,,,,,,Rožmitál pod Třemšínem,742848,Rožmitál pod Třemšínem,St. 824
,,,,,,,,,,,,Drozdov,632619,Drozdov,"par. č. 92/5, st. 292"
,,,,,,,,,,,,Čejetice,618951,Čejetice,"252/3-4, 18, 32"
,,,,,,,,,,,,Zdounky,792683,Zdounky,812/15
,,,,,,,,,,,,Vřesina u Opavy,786691,Vřesina,92/69
,,,,,,,,,,,,Lhota pod Libčany,681105,Lhota pod Libčany,"p.č. 296, 297"
,,,,,,,,,,,,Jemniště,726231,Postupice,St. 140
,,,,,,,,,,,,Pardubice,717657,Pardubice,St. 662
,,,,,,,,,,,,Bílany,604038,Kroměříž,"par. č. 1114,1115,1117,1118"
,,,,,,,,,,,,Želnava,796395,Želnava,1524/3
,,,,,,,,,,,,Lipník nad Bečvou,684261,Lipník nad Bečvou,St. 2343
,,,,,,,,,,,,Žatec,794732,Žatec,st. 1722/1
,,,,,,,,,,,,Sivice,747840,Sivice,St. 494/4
,,,,,,,,,,,,Žihle,796891,Žihle,1151/5
,,,,,,,,,,,,Kamenice u Jihlavy,662551,Kamenice,p.č. st. 499/2
,,,,,,,,,,,,Zahořany u Mníšku pod Brdy,697656,Zahořany,510/128
,,,,,,,,,,,,Vysoké Mýto,788228,Vysoké Mýto,2599/7
,,,,,,,,,,,,Maršov u Krupky,675300,Krupka,St. 265; St. 266; St. 267;
,,,,,,,,,,,,Třemošná,770698,Třemošná,parc. č. 2107/10
,,,,,,,,,,,,Ostřešany,716324,Ostřešany,St. 103/4
,,,,,,,,,,,,Strašice,756229,Strašice,St. 798
,,,,,,,,,,,,Chválkovice,710911,Olomouc,"St. 607, St. 1141"
,,,,,,,,,,,,Jičín,659541,Jičín,St. 3301
,,,,,,,,,,,,Chomutov II,652636,Chomutov,par. č. 2344
,,,,,,,,,,,,Havlíčkův Brod,637823,Havlíčkův Brod,St. 7580
,,,,,,,,,,,,Hulín,649309,Hulín,p.č. 830/3
,,,,,,,,,,,,Přeštice,735256,Přeštice,St. 1624/2
,,,,,,,,,,,,Vysoký Újezd,788431,Vysoký Újezd,St. 150
,,,,,,,,,,,,Kostelec nad Orlicí,670197,Kostelec nad Orlicí,2835/7
,,,,,,,,,,,,Lovosice,687707,Lovosice,par. č. 2007/1
,,,,,,,,,,,,Staré Pavlovice,682179,Liberec,903/193
,,,,,,,,,,,,Vávrovice,777196,Opava,St. 365
,,,,,,,,,,,,Tišnov,767379,Tišnov,St. 105
,,,,,,,,,,,,Nosislav,704865,Nosislav,337; 336/2
,,,,,,,,,,,,Nynice,708399,Hromnice,St. 53
,,,,,,,,,,,,Klatovy,665797,Klatovy,St. 4522
,,,,,,,,,,,,Rodov,740306,Smiřice,"p.č. 544/4, 461/24, 466/1,2"
,,,,,,,,,,,,Újezdec u Přerova,774073,Přerov,860/2
,,,,,,,,,,,,Žebětín,795674,Brno,"p.č. 2646/1,4"
,,,,,,,,,,,,Postřekov,726168,Postřekov,St. 676
,,,,,,,,,,,,Štiřín,662496,Kamenice,par.č.st. 635
,,,,,,,,,,,,Javůrek,657972,Javůrek,St. 161
,,,,,,,,,,,,Skvrňany,722596,Plzeň,par. č. 758/1
,,,,,,,,,,,,Lipence,683973,Praha,2320/109
,,,,,,,,,,,,Srby u Horšovského Týna,753033,Srby,St. 179
,,,,,,,,,,,,Kobeřice ve Slezsku,667340,Kobeřice,735
,,,,,,,,,,,,Dolní Břežany,628794,Dolní Břežany,St. 505
,,,,,,,,,,,,Hronov,648370,Hronov,696/1
,,,,,,,,,,,,Bratčice,609561,Bratčice,p.č. 306/2
,,,,,,,,,,,,Stříbro,757837,Stříbro,St. 2261
,,,,,,,,,,,,Záběhlice,732117,Praha,2225/88; 2225/89; 2225/90
,,,,,,,,,,,,Újezd nad Lesy,773778,Praha,p.č. 1048/2
,,,,,,,,,,,,Lukavec u Pacova,688771,Lukavec,St. 546
,,,,,,,,,,,,,,,
,,,,,,,,,,,,České Budějovice 6,622346,České Budějovice,par. č. 2450/82
,,,,,,,,,,,,Bystřice nad Olší,616923,Bystřice,303/3
,,,,,,,,,,,,Červené Záhoří,653403,Chotoviny,St. 5/1
,,,,,,,,,,,,Moravské Bránice,698890,Moravské Bránice,p.č. 321
,,,,,,,,,,,,Krumvíř,675211,Krumvíř,St. 568
,,,,,,,,,,,,Plasy,721531,Plasy,St. 112
,,,,,,,,,,,,Soběslav,751707,Soběslav,589
,,,,,,,,,,,,Nový Bydžov,707163,Nový Bydžov,St. 692
,,,,,,,,,,,,Mladíkov,776076,Vacov,"p.č. 48/2, 249/1"
,,,,,,,,,,,,Kramolín,673102,Kramolín,St. 118
,,,,,,,,,,,,Jedlí,658073,Jedlí,par. č. st. 75
,,,,,,,,,,,,Nový Hradec Králové,647187,Hradec Králové,st.793
,,,,,,,,,,,,Kralovice u Rakovníka,672645,Kralovice,St. 602
,,,,,,,,,,,,Pilníkov I,720615,Pilníkov,"St. 340; St. 341, St. 342;"
,,,,,,,,,,,,Ježovy,659525,Ježovy,parc. č. 175
,,,,,,,,,,,,Břeclav,613584,Břeclav,p.č.5380/5
,,,,,,,,,,,,Bystřany,616702,Bystřany,par. č. 1213/14
,,,,,,,,,,,,Horní Moštěnice,643572,Horní Moštěnice,St. 107/1
,,,,,,,,,,,,Paskov,718211,Paskov,parc. č. 980/4
,,,,,,,,,,,,Kostelec nad Orlicí,670197,Kostelec nad Orlicí,680
,,,,,,,,,,,,Židenice,611115,Brno,p.č. 1113/3
,,,,,,,,,,,,Troja,730190,Praha,parc.č. 1071/2
,,,,,,,,,,,,Bechyně,601543,Bechyně,1600/27; 1600/38
,,,,,,,,,,,,Moravany u Kyjova,698521,Moravany,st.p.č. 294
,,,,,,,,,,,,Šenov u Nového Jičína,707546,Šenov u Nového Jičína,1465
,,,,,,,,,,,,Střítež nad Ludinou,757969,Střítež nad Ludinou,par. č. st. 172
,,,,,,,,,,,,Kobeřice ve Slezsku,667340,,p.č. 1194/3
,,,,,,,,,,,,Šardice,762059,Šardice,973
,,,,,,,,,,,,Kluky,647225,Hradec Králové,St. 989
,,,,,,,,,,,,Kroměříž,674834,Kroměříž,St. 7803
,,,,,,,,,,,,Horní Ves,644552,Horní Ves,St. 20
,,,,,,,,,,,,Cholina,652351,Cholina,St. 315
,,,,,,,,,,,,Zahořany u Berouna,789844,Králův Dvůr,283/75
,,,,,,,,,,,,Jirkov,660761,Jirkov,p.č. 1954/4
,,,,,,,,,,,,Újezd,722685,Plzeň,716/8
,,,,,,,,,,,,Teplice-Trnovany,766259,Teplice,908/25
,,,,,,,,,,,,Proruby u Potštejna,681555,Proruby,St. 42
,,,,,,,,,,,,Klášter u Nepomuka,665495,Nepomuk,St. 41
,,,,,,,,,,,,Dobruška,627496,Dobruška,p.č. 516/1
,,,,,,,,,,,,Tvršice,772046,Staňkovice,par.č.st. 1/4
,,,,,,,,,,,,Nový Malín,707813,Nový Malín,518/6
,,,,,,,,,,,,Úborsko,601411,Běhařov,par.č.st. 37/2
,,,,,,,,,,,,Klášter Hradiště nad Jizerou,665517,Klášter Hradiště nad Jizerou,St. 345
,,,,,,,,,,,,Černovír u Ústí nad Orlicí,620611,Ústí nad Orlicí,St. 19/1
,,,,,,,,,,,,Znojmo-Hradiště,793426,,p.č. 148
,,,,,,,,,,,,Myslív,700665,Myslív,p.č. st. 6
,,,,,,,,,,,,Újezd u Brna,773905,Újezd u Brna,parc.č. 2137/2
,,,,,,,,,,,,Pokratice,685569,Libotenice,1345/287
,,,,,,,,,,,,Polešovice,725251,Polešovice,St. 175/1
,,,,,,,,,,,,Staré Hradiště,754366,Staré Hradiště,St. 540
,,,,,,,,,,,,Hronov,648370,Hronov,1433/6
,,,,,,,,,,,,Hodkovičky,727857,Praha,par. č. 850/8
,,,,,,,,,,,,Setěchovice,747637,Zálezly,"p.č. 26/2, 55"
,,,,,,,,,,,,Moravské Budějovice,698903,Moravské Budějovice,St. 2000/3
,,,,,,,,,,,,Bzenec,617270,Bzenec,"par. č. 5401/10,5401/11"
,,,,,,,,,,,,Čepí,619582,Čepí,St. 76
,,,,,,,,,,,,Vršovice,732257,Praha,p.č. 1361/5
,,,,,,,,,,,,Škrovád,749800,Slatiňany,St. 74
,,,,,,,,,,,,Tasovice,765112,Tasovice,"p.č. 109/1,2"
,,,,,,,,,,,,Vlčnov u Chrudimi,712094,Chrudim,St. 13/2
,,,,,,,,,,,,Soběslav,751707,Soběslav,1874/154
,,,,,,,,,,,,Vysoké Mýto,788228,Vysoké Mýto,parc.č. 153
,,,,,,,,,,,,Stará Role,753858,Karlovy Vary,St.3221
,,,,,,,,,,,,Kravaře ve Slezsku,674231,Kravaře,1838/2
,,,,,,,,,,,,Karlík,627828,Karlík,par.č. 1389/57
,,,,,,,,,,,,Kozí,603333,,p.č. st. 94
,,,,,,,,,,,,Havlíčkův Brod,637823,Havlíčkův Brod,St. 449/1
,,,,,,,,,,,,Klánovice,665444,Praha,1002/3
,,,,,,,,,,,,Chotěboř,652831,Chotěboř,3220/26
,,,,,,,,,,,,Lanškroun,678929,Lanškroun,St. 3965
,,,,,,,,,,,,Klatovy,665797,Klatovy,St. 6417
,,,,,,,,,,,,Choceň,651974,Choceň,St. 639
,,,,,,,,,,,,Dětmarovice,625965,Dětmarovice,par. č. 2049/7
,,,,,,,,,,,,Třebeš,647047,Hradec Králové,St. 927
,,,,,,,,,,,,Drslavice u Tupadel,771503,Klatovy,"par. č. st. 71, 72"
,,,,,,,,,,,,Ludgeřovice,688410,Ludgeřovice,2847/13
,,,,,,,,,,,,Vsetín,786764,Vsetín,parc. č. 904
,,,,,,,,,,,,Násedlnice,669369,Kněžmost,St. 26
,,,,,,,,,,,,Břeclav,613584,Břeclav,St. 4350
,,,,,,,,,,,,Horní Lapač,643246,Horní Lapač,437/26
,,,,,,,,,,,,Most II,699594,Most,4936/363
,,,,,,,,,,,,Kunovice u Uherského Hradiště,677345,Kunovice,2942/20
,,,,,,,,,,,,Doksy u Máchova jezera,628212,Doksy,1665/4
,,,,,,,,,,,,Štarnov,763161,Štarnov,St. 349
,,,,,,,,,,,,Mladcová,636177,Zlín,p.č. 814
,,,,,,,,,,,,Vimperk,782084,Vimperk,1258/9
,,,,,,,,,,,,Kdyně,664677,Kdyně,St. 1786
,,,,,,,,,,,,Řeporyje,745251,Praha,p.č. 476
,,,,,,,,,,,,Hřibiny,618632,Hřibiny-Ledská,St. 24/1
,,,,,,,,,,,,Svítkov,718033,Pardubice,St. 1884
,,,,,,,,,,,,Podlešín u Stebna,755401,Stebno,St. 9
,,,,,,,,,,,,Pravčice,732974,Pravčice,st. 41
,,,,,,,,,,,,Kuřívody,739227,Ralsko,p.č. 164 - 170
,,,,,,,,,,,,Mařenice,692174,Mařenice,St. 149
,,,,,,,,,,,,Železné,796107,Železné,730/3
,,,,,,,,,,,,Třebíč,769738,Třebíč,p.č. 5782
,,,,,,,,,,,,Slezské Předměstí,646971,Hradec Králové,St. 3214
,,,,,,,,,,,,Vítkovice,714071,Ostrava,584/1
,,,,,,,,,,,,Hustopeče u Brna,649864,,"p.č. 4723/1,2,6,7; 4730/2"
,,,,,,,,,,,,Klokoty,666513,Tábor,575/149
,,,,,,,,,,,,Nový Bydžov,707163,Nový Bydžov,St. 1136
,,,,,,,,,,,,Blatnička,605344,Blatnička,St. 83
,,,,,,,,,,,,Šumperk,764264,Šumperk,St. 1198
,,,,,,,,,,,,Kraselov,673145,Kraselov,St. 165
,,,,,,,,,,,,Městec Králové,693286,Městec Králové,1119
,,,,,,,,,,,,Beroun,602868,Beroun,St. 6627
,,,,,,,,,,,,Újezd u Hořovic,773573,Újezd,St. 67
,,,,,,,,,,,,Hartmanice u Poličky,637441,Hartmanice,p.č. st. 233
,,,,,,,,,,,,Cítov,617849,Cítov,St. 124
,,,,,,,,,,,,Miškovice,731552,Praha,par.č. 310/163
,,,,,,,,,,,,Suchohrdly u Znojma,759228,Suchohrdly,par.č.st. 508/7
,,,,,,,,,,,,Hanušovice,637203,Hanušovice,483/1
,,,,,,,,,,,,Radimovice u Sychrova,761699,Radimovice,St. 166
,,,,,,,,,,,,Telce,765538,Peruc,St. 24/1
,,,,,,,,,,,,Drahelice,708381,Nymburk,parc.č. 351
,,,,,,,,,,,,Černice,620106,Plzeň,p.č. 1467/23
,,,,,,,,,,,,Chotěšov,653161,Chotěšov,st. 1178
,,,,,,,,,,,,Hradec nad Moravicí,646814,Hradec nad Moravicí,1278
,,,,,,,,,,,,Lštění nad Zubřinou,687855,Blížejov,658/3
,,,,,,,,,,,,Dvůr Králové nad Labem,633968,Dvůr Králové nad Labem,St. 5381
,,,,,,,,,,,,Huntířov,782742,Vítězná,St. 468
,,,,,,,,,,,,Hranice,647683,Hranice,St. 2399
,,,,,,,,,,,,Zduchovice,792705,Zduchovice,St. 18/2
,,,,,,,,,,,,Třemošnice nad Doubravou,770736,Třemošnice,St. 42
,,,,,,,,,,,,Damníkov,624683,Damníkov,St. 52/2
,,,,,,,,,,,,Písek,720755,Písek,St. 3498
,,,,,,,,,,,,Vladislav,783234,Vladislav,parc.č. 762/72-76
,,,,,,,,,,,,Zlaté Hory v Jeseníkách,793191,Zlaté Hory,16
,,,,,,,,,,,,Nové Město na Moravě,706418,Nové Město na Moravě,2736/2
,,,,,,,,,,,,Velim,778036,Velim,147/1
,,,,,,,,,,,,Hovorčovice,646385,Hovorčovice,St. 1047
,,,,,,,,,,,,Most II,699594,Most,p.č. 3426
,,,,,,,,,,,,Dolní Staré Buky,754137,Staré Buky,St. 13
,,,,,,,,,,,,Krašovice u Plzně,674117,Krašovice,St. 173
,,,,,,,,,,,,Olbramovice u Moravského Krumlova,709930,Olbramovice,St. 78/1
,,,,,,,,,,,,Šlapanice u Brna,762792,Šlapanice,122/2
,,,,,,,,,,,,Štěpánkovice,763390,Štěpánkovice,264
,,,,,,,,,,,,Olešník,710491,Olešník,184
,,,,,,,,,,,,Kateřinky u Opavy,711756,Opava,st. 774
,,,,,,,,,,,,Horšice,644838,Horšice,St. 6
,,,,,,,,,,,,Ostrožská Nová Ves,716201,Ostrožská Nová Ves,parc.č. 344/4
,,,,,,,,,,,,Holoubkov,641316,Holoubkov,St. 21/1
,,,,,,,,,,,,Tatiná,796964,Tatiná,St. 14
,,,,,,,,,,,,Oborná,613231,Oborná,St. 226
,,,,,,,,,,,,Boršice u Blatnice,607975,Boršice u Blatnice,St. 472/1
,,,,,,,,,,,,Jítrava,744689,Rynoltice,St. 239
,,,,,,,,,,,,Přibice,735311,Přibice,par.č.st. 388
,,,,,,,,,,,,Cheb,650919,Cheb,St. 1726
,,,,,,,,,,,,Čelkovice,619418,Tábor,parc.č. 243/2
,,,,,,,,,,,,Paskov,718211,Paskov,187
,,,,,,,,,,,,Mrákov,700070,Mrákov,"St. 120/1,2,3,4; 205/11"
,,,,,,,,,,,,Hostivař,732052,Praha,p.č. 2742/14
,,,,,,,,,,,,Huntířov,782742,Vítězná,St. 437
,,,,,,,,,,,,Hrádek u Pardubic,647331,Srch,St. 418
,,,,,,,,,,,,Křemže,675768,Křemže,181
,,,,,,,,,,,,Benešov u Prahy,602191,Benešov,2569/8
,,,,,,,,,,,,Poříčí u Trutnova,769223,Trutnov,"7/1,3"
,,,,,,,,,,,,Martínkov,656569,Martínkov,St. 17
,,,,,,,,,,,,Velké Meziříčí,779091,Velké Meziříčí,3537/44
,,,,,,,,,,,,Újezd u Brna,773905,Újezd u Brna,par. č. 370
,,,,,,,,,,,,Rudolice nad Bílinou,699691,Most,826/2
,,,,,,,,,,,,Skočice u Přeštic,748323,Přeštice,St. 46
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Příšov,679640,Dolany,St. 151
,,,,,,,,,,,,Vysočany u Nového Bydžova,790320,Nový Bydžov,St. 28
,,,,,,,,,,,,Střelice u Brna,757438,Střelice,par.č. 290/3
,,,,,,,,,,,,Louny,687391,Louny,"parc. č. 3742/8, 3742/10"
,,,,,,,,,,,,Čtyřicet Lánů,761001,Svitavy,St. 57/1
,,,,,,,,,,,,Prostějov,733491,Prostějov,parc. č. 2888
,,,,,,,,,,,,Tašovice,631060,Karlovy Vary,par.č.st. 559
,,,,,,,,,,,,Bystrc,611778,Brno,747
,,,,,,,,,,,,Beroun,602868,Beroun,St. 2332
,,,,,,,,,,,,Doubravka,722677,Plzeň,486
,,,,,,,,,,,,Kouřim,671215,Kouřim,st. 621
,,,,,,,,,,,,Brněnec,609927,Brněnec,St. 263
,,,,,,,,,,,,Jaroměřice nad Rokytnou,657506,Jaroměřice nad Rokytnou,St. 1328
,,,,,,,,,,,,Chabičov ve Slezsku,636495,Háj ve Slezsku,166
,,,,,,,,,,,,Hamry nad Sázavou,637106,Hamry nad Sázavou,parc.č. 129
,,,,,,,,,,,,Rakvice,739201,Rakvice,St. 662
,,,,,,,,,,,,Rakov u Svatkovic,760064,Bernartice,st. 24
,,,,,,,,,,,,Stará Bělá,753661,Ostrava,425/21
,,,,,,,,,,,,Kounické Předměstí,655741,Ivančice,St. 189
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Lomnice u Rýmařova,686662,Lomnice,"p.č. 391,393"
,,,,,,,,,,,,Čavisov,618756,Čavisov,St. 27/1
,,,,,,,,,,,,Jičíněves,659649,Jičíněves,st.p.č. 16
,,,,,,,,,,,,Mohelnice u Nepomuka,697982,Mohelnice,St. 78
,,,,,,,,,,,,Sedlec,730041,Praha,p.č. 157
,,,,,,,,,,,,Borovany,607746,Borovany,St. 1229
,,,,,,,,,,,,Čáslav,618349,Čáslav,St. 3869
,,,,,,,,,,,,Lidečko,683671,Lidečko,St. 912
,,,,,,,,,,,,Luby,665975,Klatovy,st. 502/2
,,,,,,,,,,,,Drásov,632104,Drásov,33
,,,,,,,,,,,,Horní Heršpice,612065,Brno,1852/3
,,,,,,,,,,,,Tehovec,765317,Tehovec,St. 396
,,,,,,,,,,,,Cítov,617849,Cítov,St. 139/2
,,,,,,,,,,,,Týnec nad Sázavou,772399,Týnec nad Sázavou,St. 928/2
,,,,,,,,,,,,Hodoňovice,601080,Baška,St. 374/11
,,,,,,,,,,,,Pustá Polom,736830,Pustá Polom,St. 1021/300
,,,,,,,,,,,,Březí u Říčan,613886,Březí,p.č. 402
,,,,,,,,,,,,Tuřany,612171,Brno,par. č. 2135/95
,,,,,,,,,,,,Písek,720755,Písek, St. 6415
,,,,,,,,,,,,Nehvizdy,702404,Nehvizdy,St. 674
,,,,,,,,,,,,Horní Újezd u Litomyšle,644501,Horní Újezd,par. č. st. 340
,,,,,,,,,,,,Petrovice u Nového Města na Moravě,720186,Nové Město na Moravě,227
,,,,,,,,,,,,Uherčice u Hustopečí,772810,Uherčice,St. 559
,,,,,,,,,,,,Kunovice u Uherského Hradiště,677345,Kunovice,parc.č. 809/1-4; 807/1
,,,,,,,,,,,,Kařez,664227,Kařez,p.č. 413
,,,,,,,,,,,,Lochkov,686425,Praha,p. č. 406
,,,,,,,,,,,,Chotěboř,652831,Chotěboř,4750
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Petrovice u Borovan,719935,Mladošovice,St. 45
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Markvartice u Třebíče,691887,Markvartice,St. 74/3
,,,,,,,,,,,,Pozořice,726907,Pozořice,644
,,,,,,,,,,,,Branžež,609501,Branžež,St. 274
,,,,,,,,,,,,Újezd,722685,Plzeň,p.č. 288
,,,,,,,,,,,,Nový Jičín-Dolní Předměstí,707465,,"p.č. 221/1, 221/11, 221/12"
,,,,,,,,,,,,Police,725307,Police,St. 93
,,,,,,,,,,,,Kylešovice,711811,Opava,248/8
,,,,,,,,,,,,Zvole u Zábřeha,794091,Zvole,St. 145
,,,,,,,,,,,,Nemilany,703109,,p.č. 86/2
,,,,,,,,,,,,Slavkov u Brna,750301,Slavkov u Brna,"p.č. 2721-25, 2719/31,"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Mukařov u Říčan,700321,Mukařov,st.p.č. 622
,,,,,,,,,,,,Slavičín,750085,Slavičín,St. 1207
,,,,,,,,,,,,Poštorná,726346,Břeclav,parc.č. 3624
,,,,,,,,,,,,Heršpice,704741,Heršpice,p.č. 1074/35
,,,,,,,,,,,,Horní Folmava,634565,Česká Kubice,St. 135
,,,,,,,,,,,,Mělník,692816,Mělník,parc.č. 1574/2
,,,,,,,,,,,,Záhorovice,789836,Záhorovice,par.č.st. 295/1
,,,,,,,,,,,,Chrudim,654299,Chrudim,St. 5960
,,,,,,,,,,,,Džbánov u Vysokého Mýta,634336,Džbánov,St. 5/1
,,,,,,,,,,,,Molenburk,787841,Vysočany,p.č. 346
,,,,,,,,,,,,Radvanice,715018,Ostrava,191/1
,,,,,,,,,,,,Újezd,722685,Plzeň,par. č. 810/1
,,,,,,,,,,,,Šumperk,764264,Šumperk,St. 911
,,,,,,,,,,,,Zakřany,790478,Zakřany,"parc. č. 1051,1052,1053,1054"
,,,,,,,,,,,,Sezemice nad Loučnou,747670,Sezemice,St. 580
,,,,,,,,,,,,Protivín,733857,Protivín,852
,,,,,,,,,,,,Kamýk u Velkých Přílep,779351,Velké Přílepy,"par. č. st. 386,190/131"
,,,,,,,,,,,,Lipov,684368,,p.č. 825
,,,,,,,,,,,,Královo Pole,611484,Brno,parc. č. 4310/2
,,,,,,,,,,,,Bystřice nad Pernštejnem,616958,Bystřice nad Pernštejnem,29
,,,,,,,,,,,,Bučovice,615161,Bučovice,1924
,,,,,,,,,,,,Nekmíř,702714,Nekmíř,par. č. st. 199
,,,,,,,,,,,,Šitbořice,762687,Šitbořice,1148/1
,,,,,,,,,,,,Březolupy,614599,Březolupy,St. 17/2
,,,,,,,,,,,,Plzeň,721981,Plzeň,par. č. 11203/1
,,,,,,,,,,,,Sobělice,739634,Rataje,"p. č. 400/9, 402/1, 402/2"
,,,,,,,,,,,,Štarnov,763161,Štarnov,p.č. 406/22
,,,,,,,,,,,,Krásnice,746916,Praskačka,par. č. 623
,,,,,,,,,,,,Holýšov,641553,Holýšov,p.č. 19
,,,,,,,,,,,,Janov u Litvínova,637068,Litvínov,par. č. st. 566
,,,,,,,,,,,,Folknáře,614211,Děčín,St. 247
,,,,,,,,,,,,Dolní Jirčany,736414,Psáry,St. 661
,,,,,,,,,,,,Sejřek,747131,Sejřek,St.  8
,,,,,,,,,,,,Přestavlky u Čerčan,735191,Přestavlky u Čerčan,St. 477
,,,,,,,,,,,,Kratochvilka,674133,Kratochvilka,75
,,,,,,,,,,,,Nový Hradec Králové,647187,Hradec Králové,"St. 582, p. č. 934/35"
,,,,,,,,,,,,Modlany,697711,Modlany,St. 262
,,,,,,,,,,,,Třebíč,769738,Třebíč,"par.č.st. 217, 229, 230"
,,,,,,,,,,,,Ostrov u Tachova,715972,Bor,"1548/1,1550/1,2,1551/1"
,,,,,,,,,,,,Řepice,742121,Řepice,St.211
,,,,,,,,,,,,Ponětovice,725641,Ponětovice,97
,,,,,,,,,,,,Náměšť nad Oslavou,701564,Náměšť nad Oslavou,St. 500
,,,,,,,,,,,,Háje,728233,Praha,1209/4
,,,,,,,,,,,,Srch,753076,Srch,St. 486
,,,,,,,,,,,,Němčice nad Hanou,703044,Němčice nad Hanou,St. 118
,,,,,,,,,,,,Chlumčany u Přeštic,651737,Chlumčany,p.č. 1028
,,,,,,,,,,,,Přímětice,736121,Znojmo,par. č. st. 1072
,,,,,,,,,,,,Moravské Křižánky,676446,Křižánky,p.č. st. 152
,,,,,,,,,,,,Kozojídky,671959,Kozojídky,1632
,,,,,,,,,,,,Horní Datyně,642720,Vratimov,St. 168
,,,,,,,,,,,,Plzeň,721981,Plzeň,p.č. 12471/3
,,,,,,,,,,,,Podhrad,723720,Podhrad,par.č.st. 104/1
,,,,,,,,,,,,Lutín,689122,Lutín,St. 266
